latitude, longitude
43.640125, -79.375556
43.640163, -79.375434
43.640136, -79.375511
43.640159, -79.375534
43.640163, -79.375488
43.640140, -79.375488
43.640167, -79.375511
43.640163, -79.375457
43.640094, -79.375518
43.640125, -79.375419
43.640155, -79.375457
43.640155, -79.375473
43.640140, -79.375404
43.640098, -79.375350
43.640136, -79.375381
43.640163, -79.375389
43.640155, -79.375411
43.640071, -79.375366
43.640129, -79.375457
43.640132, -79.375442
43.640129, -79.375373
43.639884, -79.375259
43.639888, -79.375244
43.639842, -79.375259
43.639801, -79.375236
43.639469, -79.374984
43.637973, -79.372901
43.636497, -79.370170
43.634979, -79.367401
43.633468, -79.364898
43.632732, -79.363090
43.631881, -79.360237
43.631446, -79.357994
43.631427, -79.357917
43.631431, -79.357925
43.631370, -79.357643
43.631103, -79.357055
43.630313, -79.356544
43.629573, -79.356048
43.628784, -79.356231
43.628036, -79.356697
43.627487, -79.357299
43.627883, -79.358001
43.628185, -79.358428
43.628616, -79.359352
43.629001, -79.360084
43.629066, -79.360122
43.628818, -79.359466
43.628280, -79.358543
43.627647, -79.357513
43.626819, -79.357475
43.626094, -79.358184
43.625446, -79.358970
43.624862, -79.359863
43.624317, -79.360717
43.623725, -79.361518
43.623107, -79.362388
43.623027, -79.363227
43.623191, -79.363540
43.623718, -79.363746
43.624320, -79.363960
43.624694, -79.364181
43.624710, -79.364234
43.624710, -79.364158
43.624713, -79.364151
43.624721, -79.364151
43.624736, -79.364143
43.624717, -79.364181
43.624706, -79.364166
43.624713, -79.364173
43.624732, -79.364173
43.624732, -79.364173
43.624736, -79.364181
43.624801, -79.364265
43.624794, -79.364273
43.624801, -79.364265
43.624759, -79.364250
43.624778, -79.364265
43.624763, -79.364265
43.624763, -79.364265
43.624778, -79.364265
43.624790, -79.364265
43.624774, -79.364257
43.624771, -79.364250
43.624767, -79.364257
43.624759, -79.364219
43.624755, -79.364227
43.624767, -79.364234
43.624767, -79.364250
43.624771, -79.364242
43.624774, -79.364227
43.624778, -79.364273
43.624778, -79.364257
43.624767, -79.364265
43.624763, -79.364257
43.624767, -79.364257
43.624778, -79.364250
43.624782, -79.364273
43.624767, -79.364265
43.624771, -79.364273
43.624778, -79.364273
43.624782, -79.364250
43.624771, -79.364273
43.624771, -79.364273
43.624774, -79.364265
43.624774, -79.364257
43.624797, -79.364250
43.624809, -79.364242
43.624794, -79.364250
43.624786, -79.364242
43.624771, -79.364242
43.624805, -79.364227
43.624790, -79.364234
43.624809, -79.364257
43.624813, -79.364280
43.624782, -79.364265
43.624797, -79.364265
43.624858, -79.364273
43.624839, -79.364265
43.624813, -79.364242
43.624824, -79.364242
43.624801, -79.364250
43.624824, -79.364326
43.624843, -79.364280
43.624847, -79.364219
43.624816, -79.364250
43.624809, -79.364257
43.624805, -79.364250
43.624809, -79.364242
43.624805, -79.364242
43.624782, -79.364250
43.624778, -79.364273
43.624790, -79.364303
43.624774, -79.364265
43.624755, -79.364219
43.624763, -79.364242
43.624740, -79.364189
43.624725, -79.364128
43.624732, -79.364135
43.624595, -79.364135
43.624588, -79.364143
43.624584, -79.364128
43.624599, -79.364143
43.624534, -79.364463
43.624454, -79.364692
43.624229, -79.365272
43.624233, -79.365318
43.624229, -79.365303
43.624221, -79.365310
43.624248, -79.365303
43.624511, -79.364936
43.624511, -79.364944
43.624511, -79.364944
43.624519, -79.364952
43.624526, -79.364959
43.624526, -79.364936
43.624530, -79.364944
43.624515, -79.364944
43.624511, -79.364944
43.624526, -79.364944
43.624519, -79.364952
43.624641, -79.364532
43.624607, -79.364532
43.624618, -79.364524
43.624603, -79.364517
43.624591, -79.364509
43.624607, -79.364509
43.624622, -79.364501
43.624626, -79.364494
43.624774, -79.364112
43.624767, -79.364089
43.624744, -79.364067
43.624759, -79.364044
43.624744, -79.364059
43.624744, -79.364059
43.624774, -79.364089
43.624759, -79.364067
43.624774, -79.364013
43.624736, -79.364128
43.624622, -79.364143
43.624637, -79.364089
43.624423, -79.364036
43.623786, -79.363800
43.623344, -79.363639
43.622947, -79.363365
