date, time, sats, hdop, latitude, longitude, altitude, speed, heading, heading dir
08/06/2016, 15:35:23, 3, 266, 43.640125, -79.375556, 128.70, 0.00, 0.69, N
08/06/2016, 15:36:26, 4, 261, 43.640163, -79.375434, 73.10, 0.00, 0.07, N
08/06/2016, 15:37:30, 5, 289, 43.640136, -79.375511, 104.80, 0.00, 0.06, N
08/06/2016, 15:38:34, 6, 154, 43.640159, -79.375534, 109.10, 0.00, 0.09, N
08/06/2016, 15:39:38, 7, 143, 43.640163, -79.375488, 101.20, 0.00, 0.06, N
08/06/2016, 15:40:43, 9, 137, 43.640140, -79.375488, 98.10, 0.00, 0.07, N
08/06/2016, 15:41:47, 8, 137, 43.640167, -79.375511, 85.10, 0.00, 0.04, N
08/06/2016, 15:42:52, 9, 137, 43.640163, -79.375457, 84.70, 0.00, 0.15, N
08/06/2016, 15:43:54, 7, 182, 43.640094, -79.375518, 98.30, 0.00, 0.31, N
08/06/2016, 15:44:59, 9, 121, 43.640125, -79.375419, 80.30, 9.74, 0.15, WSW
08/06/2016, 15:46:04, 9, 108, 43.640155, -79.375457, 75.50, 9.74, 0.35, WSW
08/06/2016, 15:47:10, 9, 131, 43.640155, -79.375473, 74.30, 9.74, 0.33, WSW
08/06/2016, 15:48:15, 9, 108, 43.640140, -79.375404, 76.10, 9.74, 0.06, WSW
08/06/2016, 15:49:20, 9, 108, 43.640098, -79.375350, 80.40, 9.74, 0.02, WSW
08/06/2016, 15:50:26, 9, 130, 43.640136, -79.375381, 73.20, 9.74, 0.15, WSW
08/06/2016, 15:51:31, 9, 147, 43.640163, -79.375389, 80.80, 102.18, 2.52, SE
08/06/2016, 15:52:36, 8, 129, 43.640155, -79.375411, 73.40, 119.42, 0.06, ENE
08/06/2016, 15:53:41, 9, 108, 43.640071, -79.375366, 90.00, 119.42, 3.06, ENE
08/06/2016, 15:54:47, 9, 108, 43.640129, -79.375457, 93.00, 119.42, 0.54, ENE
08/06/2016, 15:55:52, 9, 108, 43.640132, -79.375442, 94.00, 164.85, 0.54, WNW
08/06/2016, 15:56:57, 10, 104, 43.640129, -79.375373, 80.80, 158.12, 1.94, NNW
08/06/2016, 15:58:02, 10, 108, 43.639884, -79.375259, 81.40, 150.85, 0.24, NW
08/06/2016, 15:59:07, 10, 108, 43.639888, -79.375244, 78.00, 150.85, 0.48, NW
08/06/2016, 16:00:13, 10, 104, 43.639842, -79.375259, 78.30, 150.85, 0.52, NW
08/06/2016, 16:01:18, 10, 104, 43.639801, -79.375236, 75.20, 150.85, 0.46, NW
08/06/2016, 16:02:23, 10, 104, 43.639469, -79.374984, 76.00, 150.13, 11.19, WSW
08/06/2016, 16:03:29, 10, 131, 43.637973, -79.372901, 77.20, 126.65, 14.28, ENE
08/06/2016, 16:04:34, 10, 104, 43.636497, -79.370170, 73.90, 127.48, 14.96, SSE
08/06/2016, 16:05:40, 10, 104, 43.634979, -79.367401, 83.50, 127.99, 15.91, SSW
08/06/2016, 16:06:45, 10, 105, 43.633468, -79.364898, 80.00, 131.48, 11.91, S
08/06/2016, 16:07:50, 10, 105, 43.632732, -79.363090, 73.80, 121.86, 10.20, NW
08/06/2016, 16:08:56, 10, 105, 43.631881, -79.360237, 77.10, 106.57, 15.26, SW
08/06/2016, 16:10:01, 10, 105, 43.631446, -79.357994, 75.40, 106.62, 3.56, SW
08/06/2016, 16:11:06, 10, 105, 43.631427, -79.357917, 76.10, 132.64, 1.11, NW
08/06/2016, 16:12:12, 10, 105, 43.631431, -79.357925, 77.00, 185.03, 1.07, SE
08/06/2016, 16:13:17, 10, 106, 43.631370, -79.357643, 75.50, 125.85, 3.83, NNW
08/06/2016, 16:14:22, 10, 106, 43.631103, -79.357055, 74.00, 134.04, 4.57, E
08/06/2016, 16:15:28, 9, 111, 43.630313, -79.356544, 76.80, 140.20, 5.04, NNW
08/06/2016, 16:16:33, 10, 106, 43.629573, -79.356048, 79.00, 181.71, 5.46, S
08/06/2016, 16:17:38, 10, 106, 43.628784, -79.356231, 77.60, 186.29, 4.80, ENE
08/06/2016, 16:18:44, 10, 106, 43.628036, -79.356697, 79.00, 199.62, 5.00, SSE
08/06/2016, 16:19:50, 11, 120, 43.627487, -79.357299, 71.40, 323.63, 4.59, NW
08/06/2016, 16:20:55, 12, 120, 43.627883, -79.358001, 74.90, 343.63, 0.07, SSE
08/06/2016, 16:22:00, 12, 104, 43.628185, -79.358428, 62.80, 345.05, 4.00, NW
08/06/2016, 16:23:06, 12, 86, 43.628616, -79.359352, 78.60, 325.35, 2.72, SE
08/06/2016, 16:24:12, 11, 93, 43.629001, -79.360084, 75.40, 333.67, 0.19, WSW
08/06/2016, 16:25:18, 11, 100, 43.629066, -79.360122, 75.00, 333.67, 0.07, WSW
08/06/2016, 16:26:23, 11, 88, 43.628818, -79.359466, 90.50, 126.68, 2.43, ENE
08/06/2016, 16:27:29, 11, 100, 43.628280, -79.358543, 93.20, 131.24, 3.74, SSE
08/06/2016, 16:28:35, 11, 88, 43.627647, -79.357513, 92.00, 131.41, 4.39, S
08/06/2016, 16:29:40, 11, 88, 43.626819, -79.357475, 106.70, 189.01, 4.20, S
08/06/2016, 16:30:46, 11, 88, 43.626094, -79.358184, 108.20, 187.29, 4.89, N
08/06/2016, 16:31:52, 11, 88, 43.625446, -79.358970, 116.50, 199.32, 4.44, SE
08/06/2016, 16:32:58, 11, 88, 43.624862, -79.359863, 108.50, 187.77, 5.61, ENE
08/06/2016, 16:34:04, 11, 88, 43.624317, -79.360717, 108.90, 203.64, 4.63, SSW
08/06/2016, 16:35:09, 11, 88, 43.623725, -79.361518, 109.40, 200.00, 4.93, SSW
08/06/2016, 16:36:15, 10, 109, 43.623107, -79.362388, 111.20, 183.60, 5.72, N
08/06/2016, 16:37:20, 12, 88, 43.623027, -79.363227, 80.80, 274.67, 0.19, ESE
08/06/2016, 16:38:26, 12, 88, 43.623191, -79.363540, 89.00, 325.57, 3.54, SSE
08/06/2016, 16:39:31, 11, 124, 43.623718, -79.363746, 76.80, 119.75, 0.20, E
08/06/2016, 16:40:37, 9, 131, 43.624320, -79.363960, 84.20, 323.09, 3.82, W
08/06/2016, 16:41:42, 10, 135, 43.624694, -79.364181, 78.60, 19.47, 1.72, SSE
08/06/2016, 16:42:48, 10, 128, 43.624710, -79.364234, 62.80, 54.20, 0.37, NNE
08/06/2016, 16:43:53, 9, 140, 43.624710, -79.364158, 76.00, 46.41, 0.06, NW
08/06/2016, 16:44:59, 10, 131, 43.624713, -79.364151, 79.70, 46.41, 0.17, NW
08/06/2016, 16:46:04, 10, 133, 43.624721, -79.364151, 71.10, 46.41, 0.26, NW
08/06/2016, 16:47:09, 10, 130, 43.624736, -79.364143, 65.00, 46.41, 0.30, NW
08/06/2016, 16:48:15, 11, 127, 43.624717, -79.364181, 70.40, 46.41, 0.20, NW
08/06/2016, 16:49:20, 10, 84, 43.624706, -79.364166, 74.20, 46.41, 0.35, NW
08/06/2016, 16:50:26, 9, 96, 43.624713, -79.364173, 71.40, 46.41, 0.13, NW
08/06/2016, 16:51:31, 10, 87, 43.624732, -79.364173, 70.50, 46.41, 0.35, NW
08/06/2016, 16:52:36, 9, 87, 43.624732, -79.364173, 73.60, 46.41, 0.19, NW
08/06/2016, 16:53:42, 11, 82, 43.624736, -79.364181, 74.30, 46.41, 0.22, NW
08/06/2016, 16:54:47, 11, 77, 43.624801, -79.364265, 72.10, 310.29, 0.09, ENE
08/06/2016, 16:55:53, 11, 81, 43.624794, -79.364273, 72.50, 310.29, 0.24, ENE
08/06/2016, 16:56:58, 11, 77, 43.624801, -79.364265, 72.50, 310.29, 0.06, ENE
08/06/2016, 16:58:03, 11, 77, 43.624759, -79.364250, 77.40, 310.29, 0.35, ENE
08/06/2016, 16:59:09, 11, 77, 43.624778, -79.364265, 74.90, 211.12, 0.11, SW
08/06/2016, 17:00:14, 11, 77, 43.624763, -79.364265, 77.50, 211.12, 0.09, SW
08/06/2016, 17:01:19, 10, 81, 43.624763, -79.364265, 78.60, 211.12, 0.24, SW
08/06/2016, 17:02:24, 12, 75, 43.624778, -79.364265, 77.40, 211.12, 0.13, SW
08/06/2016, 17:03:30, 12, 75, 43.624790, -79.364265, 75.30, 211.12, 0.02, SW
08/06/2016, 17:04:35, 12, 76, 43.624774, -79.364257, 77.70, 211.12, 0.04, SW
08/06/2016, 17:05:40, 12, 76, 43.624771, -79.364250, 77.00, 211.12, 0.15, SW
